Scheme_Name,Objective,Details
Mukhyamantri Majhi Ladki Bahin Yojana,,"• Mukhyamantri Majhi Ladki Bahin Yojana, Objective, Eligibility Criteria and Benefits
• PM MITRA Parks, Objectives, Key Features and Government Schemes"
Rashtriya Gokul Mission (RGM),,"• Rashtriya Gokul Mission (RGM), Objectives and Key Initiatives"
Unified Pension Scheme (UPS),,"• Unified Pension Scheme (UPS), Key Features and Significance"
PM Vishwakarma Scheme,,"• PM Vishwakarma Scheme, Features, Eligibility and Benefits"
Fast Track Immigration: Trusted Travellers Programme (FTI-TTP),,• Fast Track Immigration: Trusted Travellers Programme (FTI-TTP)
iDEX Initiative: Innovations for Defence Excellence,,• iDEX Initiative: Innovations for Defence Excellence
BHARATI Initiative: Objective,,"• BHARATI Initiative: Objective, Focus Areas and Structure"
Scheme to Promote Critical Mineral Recycling,,• Scheme to Promote Critical Mineral Recycling
Niveshak Didi Initiative Phase 2 Launched to Boost Rural Women Financial Literacy,,• Niveshak Didi Initiative Phase 2 Launched to Boost Rural Women Financial Literacy
Pradhan Mantri Viksit Bharat Rozgar Yojana,,"• Pradhan Mantri Viksit Bharat Rozgar Yojana, Objectives and Benefits
• Aadi Vaani App: AI Translator for Tribal Languages"
Samudrayaan Mission: India’s First Manned Deep Ocean Mission to Launch by 2026,,• Samudrayaan Mission: India’s First Manned Deep Ocean Mission to Launch by 2026
PM SVANidhi Scheme,,"• PM SVANidhi Scheme, Objectives, Features, Eligibility and Benefits"
ICMR Launched UNNATI Scheme to Track Physical Growth,,• ICMR Launched UNNATI Scheme to Track Physical Growth
One Nation One Subscription (ONOS) Scheme,,"• One Nation One Subscription (ONOS) Scheme, Objectives and Features"
SMILE Scheme,,"• SMILE Scheme, Features, Eligibility and Benefits"
Pradhan Mantri Mudra Yojana (PMMY),,"• Pradhan Mantri Mudra Yojana (PMMY), Features and Funding Provision"
SHRESTH Initiative – State Health Regulatory Excellence Index,,• SHRESTH Initiative – State Health Regulatory Excellence Index
Pradhan Mantri Jan Dhan Yojana (PMJDY),,"• Pradhan Mantri Jan Dhan Yojana (PMJDY), Objectives and Achievements"
