Category,Program Name,Location,Stipend/Compensation,Eligibility/Details,Deadline
Corporate,TCS,India,|,"| IT services, consulting, and business solutions | | INR 12,000",N/A
Corporate,Infosys,India,|,"| IT services and consulting | | INR 10,000",N/A
Corporate,Wipro,India,|,"| IT services | | INR 10,000",N/A
Corporate,Reliance Industries Limited,India,|,"| Conglomerate | | INR 10,000",N/A
Corporate,Hindustan Unilever Limited,India,|,"| FMCG | | INR 10,000",N/A
Corporate,IBM India,India,|,"| IT services | | INR 10,000",N/A
Corporate,Google India,India,|,"| IT services | | INR 30,000",N/A
Corporate,Microsoft India,India,|,"| IT services | | INR 30,000",N/A
Corporate,Amazon India,India,|,"| E-commerce and IT services | | INR 30,000",N/A
Corporate,Flipkart,India,|,"| E-commerce | | INR 25,000",N/A
International,[MITACS Gloablink](https,Canada,"200 CAD(12*200 = 2400 CAD) (12 weeks)  Air fare: 1500 CAD Visa: 155 CAD + Health Insurance Accommodation: 30 Daily (30*84 = 2520) ** Notice: If you got selected for Mitacs Globlink Insternship, you will be directly Eligible for Globalink Graduate Fellowship for        Masters in Canada     Deadline: 18 September","://www.mitacs.ca/en/programs/globalink/globalink-research-internship), for research positions in Canada. Eligibility: CGPA>8 Weekly",18 September
International,[DAAD Wise Scholarship](https,Germany,"ium/datenbank/en/15342-you-are-interested-in-a-daad-scholarship/), for research positions in Germany Eligibility : CGPA>=9.5-9.6 For this the student should have acceptance letter from German Professor stipend: EUR 750 per month Airfare: EUR 1075   Deadline: October 15",://www.daad.de/deutschland/,October 15
International,[Research fellowship at ETH Zurich](https,Global/N/A,CHF 1750    Deadline: 15 December,://www.inf.ethz.ch/studies/summer-research-fellowship.html) Only For circuital branch students and mosty for computer science student,15 December
International,[Max Planck Institute for Software Systems](https,Global/N/A,N/A,://www.cis.mpg.de/internships/) Only For circuital branch students and mosty for computer science student Remotely can be done as well in case of COVID19 travel restriction.,1 November
International,[EPFL E3 Program](https,Switzerland,N/A,://actu.epfl.ch/news/apply-to-the-e3-epfl-excellence-in-engineering-pro/) By EPFL University in Switzerland 2nd year students can also apply for internship,1st December
International,"[IPAM UCLA, RIPS Program](http",USA,N/A,://www.ipam.ucla.edu/programs/student-research-programs/) To do research in USA industries along with UCLA Maths Department,13 February
International,[Summer at EPFL](https,Global/N/A,N/A,://ic.epfl.ch/SummerAtEPFL) Only For circuital branch students and mosty for computer science student,15 November
International,[Robotics Institute for Summer Scholars](https,Global/N/A,N/A,"://riss.ri.cmu.edu/), CMU Best Internship for students whose interest in the field of control system and robotics",15 January
International,[KAUST Summer Internship](http,Saudi Arabia,N/A,://spike.unist.ac.kr/main/main.php) Summer Program for Internship in Saudi Arabia Eligibility: CGPA>=8 Applications accepted year-round.,N/A
International,"[Hybrid NanoTechnology, New York University](https",Global/N/A,N/A,://engineering.nyu.edu/research/student-research/undergraduate-summer-research-program) ** Only For Female Students Eligibility: CGPA>=8,28 October
International,[Santa Fe Institute Summer Research Experience](https,Global/N/A,N/A,://www.santafe.edu/engage/learn/schools/research-experiences-undergraduates),January 15
International,[UROP International](http,Global/N/A,N/A,://www.rwth-aachen.de/cms/root/Forschung/Angebote-fuer-Forschende/Angebote-fuer-Studierende/UROP/UROP-INternational/~wnr/Informationen-fuer-Studierende/?lidx=1) Organized by RWTH Aachen,January 15
International,[University of Tokyo Amgem Program](http,japan,"250,000 JPY Deadline: 2nd February","://www.amgenscholars.com/japan-program), Agmen Scholarship Japan Best for Biotechnology and Life Science students",2nd February
International,[University of Kyoto Amgem Program](https,usa,"180,000 JPY Deadline: 2nd February",://www.kyoto-u.ac.jp/en/education-campus/events_news/office/kyoiku-suishin-gakusei-shien/kokusai-kyoiku-koryu/news/2019/200203_1.html) Best for Biotechnology and Life Science students,2nd February
